,Unnamed: 0.1,Unnamed: 0,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,Position,Dataset,Generation,Mother_ID,Grandmother_ID,Sister_ID,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Random_ID,Seen_granny, ,Label,X,Y,Frame_onset,Frames_in_mitosis,Mitotic_duration_mins,Interphase_duration_mins,Interphase_duration_hrs,Mitotic_duration_hrs,Mother_Mitotic_duration_mins,Mother_arrested,Metaphase_arrested,Frame_onset_hrs,Frame_hrs,Mitotic_duration_bin,Unique_Track_ID,Unique_Source_ID,Laggings,Massive Missegregation,DNA bridge,Misaligned,MN,Multipolar Divition,Citokinesis Failure,Slippage,Mitotic Death,Comments,any_true
63,63,90,19,5272,True,5272,689.7761352234677,689.2237066438514,63,3,20250627,1,,,,,,,6145,,17,tomeasure:5272:14,744.95,773.538,14,49,343,,,5.716666666666667,,,> 120 min,1.6333333333333333,7.35,"(330, 360]",20250627319,2025062735272,False,False,False,False,False,False,False,False,False,Unclear,False
64,64,88,22,5277,True,5277,766.0806501866105,539.032409893337,57,3,20250704,1,,,,,,,5877,,42,tomeasure:5277:48,749.093,517.902,48,9,63,,,1.05,,,060-090,5.6,6.65,"(60, 90]",20250704322,2025070435277,False,False,False,False,False,False,False,False,False,,False
65,65,92,20,5299,True,5299,679.8324207903734,282.63627204621616,61,3,20250627,1,,,,,,,5703,,11,tomeasure:5299:52,681.559,282.153,52,9,63,,,1.05,,,060-090,6.066666666666666,7.116666666666666,"(60, 90]",20250627320,2025062735299,False,False,False,False,False,False,False,False,False,,False
66,66,94,20,5320,True,5299.5320,741.7044217074049,336.2218442690024,268,3,20250627,2,5299.0,,5378.0,1449.0,24.15,False,6395,,43,tomeasure:5320:261,739.978,331.043,261,7,49,1400.0,23.33333333333333,0.8166666666666667,63.0,060-090,030-060,30.45,31.266666666666666,"(30, 60]",20250627320,2025062735320,False,False,False,False,False,False,False,False,False,,False
67,67,96,20,5334,True,5299.5320.5334,636.1905630006815,205.29627089992687,538,3,20250627,3,5320.0,5299.0,5356.0,1890.0,31.5,False,5669,False,79,tomeasure:5334:529,633.083,212.547,529,9,63,1827.0,30.45,1.05,49.0,030-060,060-090,61.71666666666667,62.766666666666666,"(60, 90]",20250627320,2025062735334,False,False,False,False,False,False,False,False,False,,False
68,68,98,20,5356,True,5299.5320.5356,773.7452793251532,178.22727049872563,514,3,20250627,3,5320.0,5299.0,5334.0,1722.0,28.7,True,5531,True,72,tomeasure:5356:504,760.694,180.23,504,10,70,1652.0,27.53333333333333,1.1666666666666667,49.0,030-060,060-090,58.8,59.96666666666667,"(60, 90]",20250627320,2025062735356,False,False,False,False,False,False,False,False,False,Unfocused metaphase plate?,False
69,69,100,20,5378,True,5299.5378,765.4588506309079,411.6283453866344,237,3,20250627,2,5299.0,,5320.0,1232.0,20.53333333333333,True,2553,,38,tomeasure:5378:229,771.052,415.564,229,8,56,1176.0,19.6,0.9333333333333332,63.0,060-090,030-060,26.716666666666665,27.65,"(30, 60]",20250627320,2025062735378,False,False,False,False,False,False,False,False,False,,False
70,70,102,20,5397,True,5299.5378.5397,723.6123857249693,320.8919511846486,521,3,20250627,3,5378.0,5299.0,,1988.0,33.13333333333333,,2699,True,75,tomeasure:5397:511,726.305,322.756,511,10,70,1918.0,31.966666666666665,1.1666666666666667,56.0,030-060,060-090,59.61666666666667,60.78333333333333,"(60, 90]",20250627320,2025062735397,False,False,False,False,False,False,False,False,False,,False
71,71,102,23,5412,True,5412,1118.2540156050088,772.7097958886038,66,3,20250704,1,,,,,,,2139,,68,tomeasure:5412:57,1117.84,757.38,57,9,63,,,1.05,,,060-090,6.65,7.7,"(60, 90]",20250704323,2025070435412,False,False,False,False,False,False,False,False,False,,False
72,72,104,21,5421,True,5421,571.5564191855684,446.0170244677523,61,3,20250627,1,,,,,,,5882,,9,tomeasure:5421:40,580.879,444.567,40,21,147,,,2.45,,,> 120 min,4.666666666666667,7.116666666666666,"(120, 150]",20250627321,2025062735421,False,False,False,False,False,False,False,False,False,,False
