LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID3107,3107,27,-1.0,703.6561948261726,447.0530132781788,0.0,251049.9888305664,599,5.0,1,,37.17829457364341,19.0,0.0,164.0,4796.0,43.733470022327275,0.5036852168561877,0.5695184481172644,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3076,3076,27,-1.0,910.4859624297469,714.7654959949585,0.0,225064.8480834961,537,5.0,1,,31.26356589147287,12.0,0.0,183.0,4033.0,42.8265979306094,0.24352460774115406,0.2859192525644082,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3078,3078,27,-1.0,910.4859624297469,725.8440129629655,0.0,225064.8480834961,537,5.0,1,,39.62015503875969,32.0,0.0,167.0,5111.0,34.89855696301461,0.3114187583211807,0.5391903043251947,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3111,3111,27,-1.0,446.22437006542964,580.7407849350454,0.0,342417.09661865234,817,5.0,1,,33.29457364341085,33.0,0.0,104.0,4295.0,18.29335735860458,0.4701352045182269,1.1640604415019857,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3113,3113,27,-1.0,816.3516717600602,495.66674842613025,0.0,342417.09661865234,817,5.0,1,,30.852713178294575,32.0,0.0,92.0,3980.0,16.918047304946363,0.41924268425861955,1.0774123543776417,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3082,3082,27,-1.0,930.1811037062035,916.6406940786396,0.0,336130.3690185547,802,5.0,1,,46.53488372093023,38.0,0.0,174.0,6003.0,35.68482838328056,0.556190314660798,0.9321498416052513,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3084,3084,27,-1.0,926.4882647168679,920.3335330679753,0.0,336549.48419189453,803,5.0,1,,26.186046511627907,11.0,0.0,151.0,3378.0,33.38851960298733,0.324185903220106,0.3840147739989367,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3086,3086,27,-1.0,935.1048890253178,910.4859624297469,0.0,336549.48419189453,803,5.0,1,,23.550387596899224,11.0,0.0,125.0,3038.0,30.454361664297693,0.23457361207631675,0.2938601657707203,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3090,3090,27,-1.0,936.3358353550964,894.4836601426258,0.0,342417.09661865234,817,5.0,1,,25.155038759689923,21.0,0.0,100.0,3245.0,20.4971223637319,0.556755046356754,0.8778210130107644,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID3093,3093,27,-1.0,946.1834059933246,916.6406940786396,0.0,342417.09661865234,817,5.0,1,,25.449612403100776,22.0,0.0,72.0,3283.0,14.92112661228518,0.4351729021021706,1.0343491719710427,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
