LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID2333 ? ID2335,12,2333,2335,-1.0,0.0067968912539331785,0.03334516889055192,13.975466239610032,118400.03646850586,501.19103651112476,599.5233644240266,0.0,
ID2333 ? ID2337,12,2333,2337,-1.0,0.0028658280930947736,0.010869195261658715,4.555444656154701,118400.03646850586,505.61046697912036,605.6000813175206,0.0,
ID2340 ? ID2342,12,2340,2342,-1.0,0.006572696745639118,0.016672584445276088,6.98773311980507,237428.74569702148,535.4416226380906,579.6359273180465,0.0,
ID2335 ? ID2348,12,2335,2348,-1.0,6.275544148121966E-6,9.054399792378267E-4,202.64426047434407,230513.34533691406,588.4747882540377,545.3853411910807,0.0,
ID2355 ? ID2364,13,2355,2364,-1.0,8.28733681154665E-6,4.0707955940182166E-4,78.14085480662519,246439.72192382812,824.3618894833023,821.0473166323055,0.0,
ID2353 ? ID2357,13,2353,2357,-1.0,0.007473526777741734,0.03963028081252286,16.609652012247203,150252.78964233398,859.717333227267,808.8938828453176,0.0,
ID2353 ? ID2355,13,2353,2355,-1.0,0.001737360583955263,0.02609672252616949,10.937532385157331,150252.78964233398,855.2979027592714,796.7404490583299,0.0,
ID2357 ? ID2361,13,2357,2361,-1.0,1.5467925527292473E-5,0.001198165555639164,229.9935689600246,246439.72192382812,872.4231958227542,702.8275516134236,0.0,
ID2351 ? ID2353,13,2351,2353,-1.0,NaN,0.0025741110764677944,386.2279455835125,75021.61602783203,870.2134805887565,993.4051048841335,0.0,
ID2370 ? ID2372,14,2370,2372,-1.0,0.007301126997308867,0.018640516090121323,7.812523132255345,34996.11697387695,816.62788616431,523.8406176596022,0.0,
ID2379 ? ID2387,14,2379,2387,-1.0,7.219442337109099E-6,0.0021641198232619278,452.6007119724528,237847.86087036133,1208.8523401989185,309.4982399618161,0.0,
ID2377 ? ID2381,14,2377,2381,-1.0,0.0017079490599585018,0.03517085541720002,14.740639164690368,133069.0675354004,987.880816799139,301.76423664282385,0.0,
ID2374 ? ID2377,14,2374,2377,-1.0,4.118698589816004E-6,0.0026568445310909635,259.45105849115276,84032.59225463867,904.4640667157223,408.38299668321747,0.0,
ID2392 ? ID2401,14,2392,2401,-1.0,8.30154045762429E-6,8.686490200434783E-4,179.84760839586184,238895.64880371094,727.6868479958987,531.5746209785945,0.0,
ID2377 ? ID2379,14,2377,2379,-1.0,0.005717554383694366,0.04512391165470425,18.91211605493317,133069.0675354004,981.8040999056452,312.8128128128128,0.0,
ID2394 ? ID2398,14,2394,2398,-1.0,6.216113881479245E-6,0.0011335863001115292,234.70099002145636,238895.64880371094,711.1139837409153,321.651673748804,0.0,
ID2370 ? ID2374,14,2370,2374,-1.0,0.0019252469886825128,0.03074272670223818,12.884743230747997,34996.11697387695,822.7046030578039,516.6590431491094,0.0,
ID2390 ? ID2392,14,2390,2392,-1.0,0.0017423359828520168,0.015817002398569945,6.629145701993366,135164.6434020996,717.7431294429086,442.6335828101832,0.0,
ID2367 ? ID2370,14,2367,2370,-1.0,NaN,0.0014331238532237576,49.85344802939122,17393.279693603516,811.656026887815,544.2804835740817,0.0,
ID2390 ? ID2394,14,2390,2394,-1.0,0.00464718464282467,0.02947324380289982,12.352683685339834,135164.6434020996,726.5819903788998,439.87143876768596,0.0,
ID2372 ? ID2390,14,2372,2390,-1.0,2.1645628705947048E-5,0.0012785849316515037,127.53809417160208,85080.38018798828,768.5665798248579,485.1706010646408,0.0,
ID2381 ? ID2384,14,2381,2384,-1.0,1.2463201884497244E-5,0.0025844189995028787,293.53885779600677,190068.73110961914,984.5662439481423,153.7133159649716,0.0,
ID2411 ? ID2415,15,2411,2415,-1.0,2.020409157965693E-6,0.001987672128532476,228.25941234179018,122381.63061523438,997.824535352129,355.9022598757698,0.0,
ID2415 ? ID2417,15,2415,2417,-1.0,0.0038295667281957662,0.03728103218024219,15.625046264510496,180009.9669494629,1075.7169973505513,439.31900995918653,0.0,
ID2407 ? ID2409,15,2407,2409,-1.0,0.0036615244228428764,0.013180835332141845,5.524288084994566,64753.29428100586,904.4640667157223,271.93308098385364,0.0,
ID2404 ? ID2407,15,2404,2407,-1.0,NaN,0.0024597513354483436,158.76154252871908,32271.86834716797,861.3746196527653,338.7769668122869,0.0,
ID2417 ? ID2426,15,2417,2426,-1.0,3.415831299162611E-6,0.0014556390443380327,236.1011188201479,261318.31057739258,1043.123697649084,559.7484902120664,0.0,
ID2431 ? ID2440,15,2431,2440,-1.0,1.708975437903471E-5,0.002401641984065191,370.4157714942362,243086.80053710938,1233.7116365813936,388.49555957723726,0.0,
