LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2122,2122,2,-1.0,832.0958928022945,1218.243629943409,0.0,270328.9521789551,645,5.0,1,,39.89922480620155,40.0,0.0,127.0,5147.0,30.921737136185936,0.4255743023126048,0.7703997043151062
ID2124,2124,2,-1.0,855.2979027592712,1371.2664098977564,0.0,306791.92712402344,732,5.0,1,,64.87596899224806,59.0,0.0,224.0,8369.0,44.22616020099451,0.6895038484036864,1.1973252122989368
ID2126,2126,2,-1.0,855.8503315677709,1362.4275489617653,0.0,308468.3857421875,736,5.0,1,,53.3875968992248,46.0,0.0,164.0,6887.0,41.18675266346256,0.47629571499956813,0.8364040591758238
ID2128,2128,2,-1.0,852.5357587167742,1355.798403259772,0.0,309306.61505126953,738,5.0,1,,47.58914728682171,33.0,0.0,186.0,6139.0,44.834001536762806,0.633028684745132,0.8229245011824001
ID2130,2130,2,-1.0,843.6968977807829,1370.1615522807574,0.0,309306.61505126953,738,5.0,1,,22.27906976744186,15.0,0.0,112.0,2874.0,24.841993410914252,0.634534097793065,0.6963083236757793
ID2133,2133,2,-1.0,860.2697620357662,1330.9391068772968,0.0,315593.33486938477,753,5.0,1,,34.310077519379846,33.0,0.0,128.0,4426.0,24.903187060599162,0.645946321516049,1.081377990090709
ID2135,2135,2,-1.0,810.551169270816,1228.1873484963992,0.0,342416.67276000977,817,5.0,1,,26.387596899224807,25.0,0.0,79.0,3404.0,18.700898239422628,0.34607432149610556,0.7255506013316239
ID2137,2137,2,-1.0,863.5843348867629,1351.9314016002756,0.0,316431.5641784668,755,5.0,1,,32.55813953488372,29.0,0.0,118.0,4200.0,25.036818817725777,0.564768918647771,0.9387090525420342
ID2139,2139,2,-1.0,905.0164955242216,1517.6600441501103,0.0,342416.67276000977,817,5.0,1,,32.13178294573643,31.0,0.0,105.0,4145.0,20.89122866366455,0.572550293720575,1.1199791438423097
ID2141,2141,2,-1.0,638.7458098274874,783.2059432500932,0.0,182733.9893798828,436,5.0,1,,54.89147286821706,41.0,0.0,254.0,7081.0,57.79776708355575,0.45735436957639686,0.5960895172849205
ID2143,2143,2,-1.0,632.6690929339935,783.7583720585928,0.0,183153.10403442383,437,5.0,1,,72.93023255813954,55.0,0.0,255.0,9408.0,65.85284091804047,0.633377452986942,0.8588931155980071
ID2145,2145,2,-1.0,638.1933810189881,780.9962280160955,0.0,183572.21868896484,438,5.0,1,,46.52713178294574,22.0,0.0,237.0,6002.0,54.00984828010824,0.6735096285579429,0.6933921370996345
ID2083,2083,2,-1.0,445.9481556611799,939.2670816511876,0.0,0.0,0,5.0,1,,30.75968992248062,27.0,0.0,111.0,3968.0,27.296341099185828,0.251920400656685,0.4535175878906969
ID2147,2147,2,-1.0,627.144804848999,780.9962280160955,0.0,183572.21868896484,438,5.0,1,,47.3875968992248,23.0,0.0,251.0,6113.0,55.17504956917792,0.47823712951026265,0.5557137385258613
ID2085,2085,2,-1.0,665.262392635461,960.2593763741665,0.0,45264.38269042969,108,5.0,1,,87.92248062015504,59.0,0.0,255.0,11342.0,83.78307298493202,0.7429276957067971,0.8946245684644707
ID2150,2150,2,-1.0,620.5156591470056,781.5486568245949,0.0,184410.44799804688,440,5.0,1,,18.310077519379846,9.0,0.0,168.0,2362.0,30.67414384746857,-0.32320194844485634,-0.570115172831104
ID2087,2087,2,-1.0,667.4721078694588,952.5253730551743,0.0,45683.4973449707,109,5.0,1,,56.41860465116279,39.0,0.0,255.0,7278.0,58.161238390897346,0.7618078223080637,0.8388910970013121
ID2152,2152,2,-1.0,254.80778792037069,721.8863455066545,0.0,307630.15643310547,734,5.0,1,,12.046511627906977,7.0,0.0,78.0,1554.0,15.158980663865298,-0.12087078784814927,-0.21851937137044083
ID2089,2089,2,-1.0,665.8148214439605,969.6506661186573,0.0,45683.4973449707,109,5.0,1,,44.992248062015506,13.0,0.0,255.0,5804.0,65.45806101572198,0.6138341487656109,0.5228735786565138
ID2154,2154,2,-1.0,164.76189213496056,738.1829953573882,0.0,329424.1184692383,786,5.0,1,,54.44961240310077,21.0,0.0,255.0,7024.0,63.26765579172224,0.6855068153592248,0.7000423420273215
ID2092,2092,2,-1.0,594.5515051475317,960.811805182666,0.0,184829.5626525879,441,5.0,1,,90.44961240310077,70.0,0.0,255.0,11668.0,85.83168132676795,0.7181472995436138,0.8809316708802865
ID2156,2156,2,-1.0,171.94346664545338,735.9732801233905,0.0,330262.3477783203,788,5.0,1,,36.85271317829457,19.0,0.0,199.0,4754.0,42.54246054957803,0.7170937137219736,0.7235337183138454
ID2094,2094,2,-1.0,596.7612203815295,959.7069475656672,0.0,185248.6773071289,442,5.0,1,,93.16279069767442,91.0,0.0,255.0,12018.0,64.97376762702899,0.6896525807692783,1.1704891273440285
ID2158,2158,2,-1.0,151.5036007309738,739.2878529743872,0.0,330262.3477783203,788,5.0,1,,33.98449612403101,20.0,0.0,217.0,4384.0,41.362532958608064,0.6949232012602028,0.6737371445632344
ID2096,2096,2,-1.0,610.0195117855162,949.7632290126771,0.0,185667.79196166992,443,5.0,1,,54.6124031007752,21.0,0.0,255.0,7045.0,66.30920822149244,0.6584456657946364,0.6539825137165127
ID2161,2161,2,-1.0,100.12772154052506,734.8684225063915,0.0,342416.67276000977,817,5.0,1,,14.829457364341085,10.0,0.0,76.0,1913.0,15.873092420334988,0.24116926894376334,0.36306523329102713
ID2098,2098,2,-1.0,599.5233644240267,955.2875170976715,0.0,185667.79196166992,443,5.0,1,,64.13178294573643,40.0,0.0,255.0,8273.0,62.88511099678142,0.4948785844382398,0.675224540542709
ID2163,2163,2,-1.0,74.71599634955044,737.6305665488889,0.0,342416.67276000977,817,5.0,1,,22.93798449612403,20.0,0.0,77.0,2959.0,15.414457467942487,0.4566650322700591,0.9330288440060137
ID2101,2101,2,-1.0,610.0195117855162,948.6583713956782,0.0,186086.90661621094,444,5.0,1,,44.50387596899225,14.0,0.0,255.0,5741.0,65.12981316558874,0.5259081174868439,0.4710093092302282
ID2165,2165,2,-1.0,266.40879289885913,759.1752900803674,0.0,282483.27716064453,674,5.0,1,,27.612403100775193,25.0,0.0,83.0,3562.0,18.743461392209298,0.4108000606744982,0.8579252183293109
ID2103,2103,2,-1.0,850.3260434827762,934.2952223746926,0.0,290027.3409423828,692,5.0,1,,49.69767441860465,44.0,0.0,155.0,6411.0,33.24708743144907,0.4110168300974965,0.8708430062404089
ID2167,2167,2,-1.0,153.16088715647214,739.8402817828866,0.0,316431.5641784668,755,5.0,1,,23.031007751937985,20.0,0.0,73.0,2971.0,15.39071249188133,0.42257109219747974,0.8890168992394908
ID2105,2105,2,-1.0,849.7736146742769,935.9525088001909,0.0,290446.4555969238,693,5.0,1,,53.10077519379845,53.0,0.0,127.0,6850.0,27.27861025637816,0.4278234313054001,1.1665374289809778
ID2169,2169,2,-1.0,247.62621340987783,814.418170930312,0.0,342416.67276000977,817,5.0,1,,23.05426356589147,20.0,0.0,71.0,2974.0,18.00360644318911,0.25807685557290655,0.5253680097311075
ID2107,2107,2,-1.0,848.1163282487785,940.3719392681863,0.0,291703.7995605469,696,5.0,1,,45.68217054263566,35.0,0.0,232.0,5893.0,42.102921605892604,0.6904755456188181,0.8863472513813652
ID2109,2109,2,-1.0,835.4104656532912,954.1826594806727,0.0,291703.7995605469,696,5.0,1,,43.713178294573645,25.0,0.0,255.0,5639.0,55.446510513293575,0.6490445676580183,0.6205978786881815
ID2304,2304,3,-1.0,866.62269333351,1047.8193425213292,0.0,324813.8572692871,775,5.0,1,,15.767441860465116,13.0,0.0,66.0,2034.0,14.83003267649962,0.2176683424286209,0.38011532641204493
ID2177,2177,3,-1.0,1014.121185202863,901.1494938647256,0.0,50293.758544921875,120,5.0,1,,56.18604651162791,37.0,0.0,225.0,7248.0,52.70329203455009,0.8072625448251509,0.9523888033811445
ID2306,2306,3,-1.0,845.0779698020315,1087.0417879247902,0.0,342416.67276000977,817,5.0,1,,18.558139534883722,17.0,0.0,65.0,2394.0,14.74200364643924,0.15595810707468033,0.33968297255167446
