,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Seen_granny,1st Error Type,comment,2nd Error Type,comment 2
19,10,2306,TRUE,2287.231,522.183,567.482,601,"['2308', '2310']",2,Example,siHAUS6,2,2287,,2296,[],0,2,3017,50.283,FALSE,,Mitotic Death,,blank,
59,28,3134,TRUE,3119.3126.3134,1032.904,847.011,624,[],2,Example,siHAUS6,3,3126,3119,,[],0,1,1547,25.783,,FALSE,normal,,blank,
55,27,3095,TRUE,3066.3074.3095,926.837,613.887,626,"['3097', '3099']",2,Example,siHAUS6,3,3074,3066,3082,[],0,2,630,10.500,FALSE,FALSE,Mitotic Death,,blank,
86,34,3418,TRUE,3369.3397.3418,1369.885,523.288,627,[],2,Example,siHAUS6,3,3397,3369,3404,[],0,2,1736,28.933,FALSE,FALSE,normal,,blank,
72,32,3279,TRUE,3252.3259.3279,697.027,812.761,634,['3281'],2,Example,siHAUS6,3,3259,3252,3266,[],0,2,2674,44.567,FALSE,FALSE,Massive Missegregation,,blank,
83,34,3384,TRUE,3369.3377.3384,1250.561,847.011,654,[],2,Example,siHAUS6,3,3377,3369,,[],0,1,1960,32.667,,TRUE,normal,,blank,
7,4,2150,TRUE,2107.2130.2150,930.981,423.851,668,[],2,Example,siHAUS6,3,2130,2107,2138,[],0,2,1526,25.433,TRUE,TRUE,normal,,blank,
33,16,2471,TRUE,2456.2463.2471,765.252,819.390,680,[],2,Example,siHAUS6,3,2463,2456,2485,[],0,2,3227,53.783,TRUE,TRUE,normal,,blank,
6,4,2138,TRUE,2107.2130.2138,842.592,199.565,684,[],2,Example,siHAUS6,3,2130,2107,2150,[],0,2,1638,27.300,FALSE,FALSE,normal,,blank,
68,31,3235,TRUE,3207.3228.3235,666.091,805.027,705,[],2,Example,siHAUS6,3,3228,3207,,[],0,1,1890,31.500,,FALSE,normal,,blank,
85,34,3404,TRUE,3369.3397.3404,1535.614,654.766,714,[],2,Example,siHAUS6,3,3397,3369,3418,[],0,2,2345,39.083,TRUE,TRUE,normal,,blank,
35,16,2494,TRUE,2456.2463.2485.2494,324.414,919.932,717,[],2,Example,siHAUS6,4,2485,2463,2507,[],0,2,1414,23.567,TRUE,TRUE,normal,,blank,
10,6,2190,TRUE,2181.219,527.708,10.634,719,"['2192', '2194']",2,Example,siHAUS6,2,2181,,,[],0,1,3472,57.867,,,normal,,blank,
47,25,2706,TRUE,2679.2696.2706,1164.106,391.810,724,[],2,Example,siHAUS6,3,2696,2679,,[],0,1,2310,38.500,,FALSE,normal,,blank,
36,16,2507,TRUE,2456.2463.2485.2507,394.020,757.518,743,[],2,Example,siHAUS6,4,2485,2463,2494,[],0,2,1596,26.600,FALSE,FALSE,normal,,blank,
50,25,2741,TRUE,2679.2687.2732.2741,631.564,102.337,753,[],2,Example,siHAUS6,4,2732,2687,,[],0,1,1792,29.867,,FALSE,normal,,blank,
64,30,3190,TRUE,3153.3180.3190,961.088,529.917,756,[],2,Example,siHAUS6,3,3180,3153,,[],0,1,1785,29.750,,TRUE,normal,,blank,
30,15,2440,TRUE,2407.2429.2440,1408.279,450.368,764,[],2,Example,siHAUS6,3,2429,2407,,[],0,1,2583,43.050,,FALSE,normal,,blank,
51,25,2759,TRUE,2679.2687.2724.2759,858.060,243.759,766,[],2,Example,siHAUS6,4,2724,2687,,[],0,1,1806,30.100,,TRUE,normal,,blank,
74,32,3296,TRUE,3252.3289.3296,698.132,731.001,801,"['3298', '3300']",2,Example,siHAUS6,3,3289,3252,,[],0,1,3500,58.333,,TRUE,Mitotic Death,,blank,
54,27,3082,TRUE,3066.3074.3082,930.181,916.641,802,[],2,Example,siHAUS6,3,3074,3066,3095,[],0,2,1862,31.033,TRUE,TRUE,normal,,blank,
39,16,2539,TRUE,2456.2520.2528.2539,764.147,391.810,806,[],2,Example,siHAUS6,4,2528,2520,,[],0,1,1603,26.717,,FALSE,normal,,blank,
62,30,3169,TRUE,3153.3161.3169,1395.297,732.106,816,[],2,Example,siHAUS6,3,3161,3153,,[],0,1,2387,39.783,,FALSE,Other,Movie ends,blank,
