,Unnamed: 0,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,N_dead_offspring,N_leaving_offspring,Laggings,Massive Missegregation,DNA bridge,Misaligned,MN,Multipolar Division,Cytokinesis Failure,Slippage,Other,Mitotic Death,any_true, ,Label,X,Y,Frame_onset,Frames_in_mitosis,Mitotic_duration_mins,Interphase_duration_mins,Interphase_duration_hrs,Mitotic_duration_hrs,Mother_Mitotic_duration_mins,Mother_arrested,Metaphase_arrested,Frame_onset_hrs,Frame_hrs,Augmin_depletion_bin,Mitotic_duration_bin,Unique_Track_ID,Unique_Source_ID,N_dead_offspring_bool
43,43,9,2728,True,2728,1258.018504155369,742.3262114211342,105,[],1,Example,1_siLUC1,1,,,,[],0,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,1,tomeasure:2728:98,1263.48,743.502,97,8,56,,,0.9333333333333333,,,030-060,11.316666666666666,12.25,nan,"(30, 60]",Example19,Example12728,False
44,44,10,2755,True,2755,682.1114712946943,934.0190079704428,291,[],1,Example,1_siLUC1,1,,,,['2772'],1,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,17,tomeasure:2755:284,676.789,931.6,283,8,56,,,0.9333333333333333,,,030-060,33.016666666666666,33.95,"(12, 36]","(30, 60]",Example110,Example12755,False
45,45,10,2772,True,2755.2772,723.8198463364026,1330.1104636645475,736,[],1,Example,1_siLUC1,2,2755.0,,,[],0,1.0,3115.0,51.91666666666666,0,0,False,False,False,False,False,False,False,False,True,False,True,55,tomeasure:2772:730,731.078,1331.839,729,7,49,3066.0,51.1,0.8166666666666667,56.0,030-060,030-060,85.05,85.86666666666666,nan,"(30, 60]",Example110,Example12772,False
46,46,11,2789,True,2789,958.6020899486684,627.144804848999,133,[],1,Example,1_siLUC1,1,,,,['2800' '2855'],2,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,9,tomeasure:2789:124,949.824,599.288,123,10,70,,,1.1666666666666667,,,060-090,14.35,15.516666666666667,"(12, 36]","(60, 90]",Example111,Example12789,False
47,47,11,2800,True,2789.2800,1149.1900288809782,775.1957255268513,485,[],1,Example,1_siLUC1,2,2789.0,,2855.0,['2815' '2834'],2,2.0,2464.0,41.06666666666667,0,0,False,False,False,False,False,False,False,False,False,False,False,34,tomeasure:2800:477,1164.467,789.09,476,9,63,2401.0,40.016666666666666,1.05,70.0,060-090,060-090,55.53333333333333,56.583333333333336,"(36, 60]","(60, 90]",Example111,Example12800,False
48,48,11,2815,True,2789.2800.2815,986.2235303736408,364.4649064075113,718,[],1,Example,1_siLUC1,3,2800.0,2789.0,2834.0,[],0,2.0,1631.0,27.183333333333334,0,0,False,False,False,False,False,False,False,False,False,False,False,52,tomeasure:2815:699,994.588,371.032,698,20,140,1491.0,24.85,2.3333333333333335,63.0,060-090,> 120 min,81.43333333333334,83.76666666666667,"(60, 84]","(120, 150]",Example111,Example12815,False
49,49,11,2834,True,2789.2800.2834,1278.4583700698493,863.3081204825133,698,[],1,Example,1_siLUC1,3,2800.0,2789.0,2815.0,[],0,2.0,1491.0,24.85,0,0,False,False,False,False,False,False,False,False,False,False,False,51,tomeasure:2834:688,1291.247,868.631,687,11,77,1414.0,23.566666666666666,1.2833333333333334,63.0,060-090,060-090,80.15,81.43333333333334,"(60, 84]","(60, 90]",Example111,Example12834,False
50,50,11,2855,True,2789.2855,622.1729455725041,533.7843362125923,593,[],1,Example,1_siLUC1,2,2789.0,,2800.0,[],0,2.0,3220.0,53.66666666666666,0,0,False,False,False,False,False,False,False,False,False,False,False,39,tomeasure:2855:585,619.201,530.95,584,9,63,3157.0,52.61666666666667,1.05,70.0,060-090,060-090,68.13333333333334,69.18333333333334,"(60, 84]","(60, 90]",Example111,Example12855,False
51,51,12,2872,True,2872,875.4615542695012,998.6531785648782,159,[],1,Example,1_siLUC1,1,,,,['2883'],1,,,,0,0,False,False,False,False,False,False,False,False,False,False,False,12,tomeasure:2872:152,883.55,990.428,151,8,56,,,0.9333333333333333,,,030-060,17.616666666666667,18.55,"(12, 36]","(30, 60]",Example112,Example12872,False
52,52,12,2883,True,2872.2883,863.3081204825135,1004.7298954583722,378,[],1,Example,1_siLUC1,2,2872.0,,,['2892'],1,1.0,1533.0,25.55,0,0,False,False,False,False,False,False,False,False,False,False,False,21,tomeasure:2883:372,864.899,1012.403,371,7,49,1484.0,24.733333333333334,0.8166666666666667,56.0,030-060,030-060,43.28333333333333,44.1,"(36, 60]","(30, 60]",Example112,Example12883,False
